step,loss,train_epe,train_bad1,val_epe,val_bad1,val_bad2,val_d1,val_resize_epe,val_resize_bad1,val_crop_epe,val_crop_bad1,lr,elapsed_s,peak_gb
1,17147.587890625,119.41614532470703,99.60357666015625,124.48590240478515,99.76930973052978,99.53798007965088,97.92539665222168,124.48590240478515,99.76930973052978,117.33623895645141,99.47242443084717,0.00019999999995311938,32.181628465652466,9.468888064
50,6263.536683349609,55.17048280715942,97.5685060119629,,,,,,,,,0.0001999998827984718,46.74391746520996,9.468888064
100,189.893191986084,9.764954319000244,92.39388031005859,,,,,,,,,0.0001999995311941765,61.00193405151367,9.468888064
150,122.27676261901856,7.320560245513916,89.30040466308594,,,,,,,,,0.00019999894518798163,75.38269543647766,9.468888064
200,107.14221672058106,6.6970174026489255,87.6965641784668,,,,,,,,,0.00019999812478133295,89.5612051486969,9.468888064
250,97.79734725952149,6.320762128829956,86.22342727661133,,,,,,,,,0.0001999970699762549,103.72006106376648,9.468888064
300,69.29833827972412,5.060082545280457,81.77899154663086,,,,,,,,,0.00019999578077534998,117.88718914985657,9.468888064
350,87.12933055877686,5.78490864276886,83.9374691772461,,,,,,,,,0.00019999425718179937,132.0405068397522,9.468888064
400,63.09199390411377,4.516025528907776,78.17927474975586,,,,,,,,,0.00019999249919936229,146.1976728439331,9.468888064
450,63.96605606079102,4.583427720069885,78.0445394897461,,,,,,,,,0.00019999050683237632,160.34718775749207,9.468888064
500,55.4007145690918,4.056168503761292,74.6016798400879,,,,,,,,,0.00019998828008575747,174.49517226219177,9.468888064
550,57.109810523986816,4.024015560150146,73.1135154724121,,,,,,,,,0.000199985818965,188.64841437339783,9.468888064
600,53.000055389404295,3.7534500408172606,71.00571472167968,,,,,,,,,0.00019998312347617645,202.79371786117554,9.468888064
650,49.94229698181152,3.6286731719970704,69.11354148864746,,,,,,,,,0.0001999801936259377,216.9505696296692,9.468888064
700,50.736091423034665,3.6732441902160646,68.98040222167968,,,,,,,,,0.00019997702942151286,231.09732222557068,9.468888064
750,43.34985179901123,3.330766897201538,65.54087745666504,,,,,,,,,0.00019997363087070932,245.23506808280945,9.468888064
800,43.94138195037842,3.2666164875030517,64.4603369140625,,,,,,,,,0.00019996999798191278,259.37394762039185,9.468888064
850,40.92297336578369,3.233526749610901,63.554785537719724,,,,,,,,,0.0001999661307640869,273.513475894928,9.468888064
900,39.503177661895755,3.0146493816375735,61.041632080078124,,,,,,,,,0.0001999620292267736,287.64951634407043,9.468888064
950,44.064149684906006,3.251257162094116,62.40485977172852,,,,,,,,,0.00019995769338009326,301.79223132133484,9.468888064
1000,35.93613786697388,2.8396037888526915,58.31673782348633,2.8573706805706025,60.54526140213013,38.43330701351166,21.81760667800903,2.8573706805706025,60.54526140213013,5.17165302157402,73.87664800643921,0.0001999531232347438,327.1729967594147,9.468888064
1050,36.13997476577759,2.750247449874878,56.25144622802734,,,,,,,,,0.00019994831880200173,341.8825249671936,9.468888064
1100,36.1892339515686,2.8873157000541685,57.348502502441406,,,,,,,,,0.00019994328009372171,356.1792097091675,9.468888064
1150,37.982334251403806,2.959055643081665,57.16607048034668,,,,,,,,,0.00019993800712233604,370.2973666191101,9.468888064
1200,34.12882577896118,2.7887842750549314,56.65881141662598,,,,,,,,,0.00019993249990085524,384.41490149497986,9.468888064
1250,38.036566486358645,2.7941651940345764,55.813841018676754,,,,,,,,,0.00019992675844286795,398.53060722351074,9.468888064
1300,32.802229175567625,2.651913199424744,54.5266291809082,,,,,,,,,0.0001999207827625406,412.6493384838104,9.468888064
1350,36.69760454177857,2.81890451669693,55.8966569519043,,,,,,,,,0.00019991457287461755,426.76152992248535,9.468888064
1400,31.89339729309082,2.6201343178749084,53.656116027832034,,,,,,,,,0.00019990812879442106,440.87601804733276,9.468888064
1450,30.36966468811035,2.499110848903656,51.57015998840332,,,,,,,,,0.00019990145053785133,454.9876825809479,9.468888064
1500,27.811923065185546,2.4378353762626648,51.86379783630371,,,,,,,,,0.00019989453812138629,469.09403252601624,9.468888064
1550,32.100772800445554,2.532645230293274,51.41989143371582,,,,,,,,,0.00019988739156208166,483.203736782074,9.468888064
1600,29.8794655418396,2.4654237604141236,50.581310729980466,,,,,,,,,0.00019988001087757078,497.3144416809082,9.468888064
1650,29.351380138397218,2.440380642414093,50.246494674682616,,,,,,,,,0.00019987239608606472,511.44149684906006,9.468888064
1700,32.5612900352478,2.6088470077514647,51.86494956970215,,,,,,,,,0.00019986454720635242,525.5565247535706,9.468888064
1750,26.0325394821167,2.2950713562965395,48.62425537109375,,,,,,,,,0.00019985646425780014,539.6635580062866,9.468888064
1800,29.497025508880615,2.4221608901023863,49.250508880615236,,,,,,,,,0.00019984814726035167,553.7778532505035,9.468888064
1850,28.108125,2.401791412830353,51.105916290283204,,,,,,,,,0.00019983959623452843,567.8953456878662,9.468888064
1900,28.875009689331055,2.5840045619010925,53.607540130615234,,,,,,,,,0.00019983081120142923,582.0344367027283,9.468888064
1950,26.82671329498291,2.287488889694214,47.5272785949707,,,,,,,,,0.00019982179218273023,596.1735420227051,9.468888064
2000,25.88370990753174,2.263403630256653,48.01660781860352,2.225212443470955,48.41368003845215,28.699111003875732,16.788427743911743,2.225212443470955,48.41368003845215,4.148509393930436,65.04791671752929,0.00019981253920068484,621.4901742935181,9.468888064
2050,24.748910884857178,2.216110782623291,47.03995986938477,,,,,,,,,0.00019980305227812424,636.2000985145569,9.468888064
2100,25.41346487045288,2.2444346261024477,46.849800720214844,,,,,,,,,0.00019979333143845614,650.3253169059753,9.468888064
2150,28.169556655883788,2.365727651119232,48.12089248657227,,,,,,,,,0.00019978337670566572,664.6079843044281,9.468888064
2200,25.255166282653807,2.2228562879562377,45.53916023254394,,,,,,,,,0.0001997731881043155,678.7419683933258,9.468888064
2250,24.96917528152466,2.239705352783203,45.921688079833984,,,,,,,,,0.00019976276565954483,692.8724889755249,9.468888064
2300,24.823748607635498,2.203075416088104,45.271553649902344,,,,,,,,,0.0001997521093970699,706.9957990646362,9.468888064
2350,25.375430545806886,2.1949037408828733,44.54562599182129,,,,,,,,,0.00019974121934318418,721.1252796649933,9.468888064
2400,22.27943675041199,2.020227761268616,42.61853210449219,,,,,,,,,0.00019973009552475755,735.2556178569794,9.468888064
2450,22.31705196380615,2.1012475895881653,45.07412490844727,,,,,,,,,0.000199718737969237,749.3801736831665,9.468888064
2500,22.015986824035643,2.076066544055939,44.41272804260254,,,,,,,,,0.00019970714670464635,763.5067081451416,9.468888064
2550,24.580190925598146,2.1823745369911194,45.10810920715332,,,,,,,,,0.00019969532175958567,777.6437518596649,9.468888064
2600,25.150130405426026,2.1469377493858337,43.235264434814454,,,,,,,,,0.00019968326316323196,791.7656462192535,9.468888064
2650,22.17730381011963,2.0881525087356567,43.68620388031006,,,,,,,,,0.00019967097094533863,805.8819644451141,9.468888064
2700,24.388821287155153,2.1229758214950563,42.44035026550293,,,,,,,,,0.0001996584451362354,820.0149340629578,9.468888064
2750,20.312288722991944,2.0287977862358093,43.95530395507812,,,,,,,,,0.00019964568576682858,834.1418776512146,9.468888064
2800,22.21843297958374,2.000069348812103,41.18190956115723,,,,,,,,,0.00019963269286860067,848.2633807659149,9.468888064
2850,21.55146484375,2.0412040424346922,42.45666488647461,,,,,,,,,0.0001996194664736102,862.3806900978088,9.468888064
2900,24.940956039428713,2.1746697425842285,44.02032264709473,,,,,,,,,0.00019960600661449198,876.4928991794586,9.468888064
2950,26.52570203781128,2.178535289764404,43.683162155151365,,,,,,,,,0.00019959231332445705,890.6214544773102,9.468888064
