step,loss,l1_final,l1_cv,lr,ms_per_step
1,248.01336669921875,138.33096313476562,17.668642044067383,0.00019999988896697332,2762.0391845703125
50,56.774485149383544,28.79798361778259,6.577924690246582,0.00019972256003598148,684.7459030151367
100,11.098226680755616,4.447880716323852,2.3254658484458925,0.0001988919506535622,668.6687755584717
150,8.964410953521728,4.276744866371155,1.1727889096736908,0.00019751329283579068,748.5815715789795
200,7.197077741622925,3.4146859884262084,0.9033179140090942,0.00019559508646656363,730.0600624084473
250,6.493547620773316,3.074416241645813,0.8024978232383728,0.00019314915792601562,773.4414958953857
300,6.10686423778534,2.9113531923294067,0.7387129461765289,0.00019019058717695283,763.3685278892517
350,5.408089747428894,2.564065282344818,0.6551846605539322,0.00018673761479186802,794.5335756029401
400,5.453131613731384,2.6113132071495055,0.6373982107639313,0.000182811529493745,786.4990746974945
450,5.052540850639343,2.423286664485931,0.5650449645519257,0.0001784365369040025,809.0961917241415
500,5.236923046112061,2.560017261505127,0.5471090430021286,0.000173639610306789,801.816867351532
550,4.813512897491455,2.3230905818939207,0.5076381397247315,0.0001684503243497163,819.3792689930309
600,4.89419192314148,2.4050530648231505,0.4932914823293686,0.00016290067270632245,813.1943861643473
650,4.296095089912415,2.060569953918457,0.44287125766277313,0.00015702487082443531,833.1641633693988
700,4.630541391372681,2.2600001549720763,0.45743502378463746,0.00015085914497655912,851.2681651115417
750,4.339931802749634,2.112388744354248,0.43475900411605833,0.00014444150891285802,860.4537738164266
800,4.336470036506653,2.1169183349609373,0.4267207956314087,0.0001378115294937454,851.5041145682335
850,3.966991453170776,1.9032117342948913,0.39784799635410306,0.00013101008274703192,859.4116065081428
900,4.315308961868286,2.1131471228599548,0.4131733578443527,0.00012407910185362138,852.694652610355
950,4.133328619003296,2.0324707341194155,0.39683523774147034,0.00011706131861550665,859.9967800943475
1000,3.9858802127838135,1.9414766478538512,0.39059462666511535,0.0001100000000000005,853.8405387401581
1050,3.797928447723389,1.8198671007156373,0.37465470731258393,0.0001029386813844944,860.32171862466
