step,loss,l1_final,l1_cv,lr,ms_per_step
1,4.21995210647583,0.9273751974105835,0.2793172597885132,2.9999733521557847e-05,17039.786100387573
25,6.365577239990234,1.5812862300872803,0.3556865918636322,2.983379259803441e-05,1259.8657321929932
50,4.716502857208252,1.074342474937439,0.30557575821876526,2.9339262969984674e-05,927.4726724624634
75,4.592246017456055,1.0352421045303344,0.3005277645587921,2.85285880765431e-05,817.2443072001139
100,4.62713171005249,1.044699523448944,0.3009223687648773,2.742172942406195e-05,765.6164169311523
125,4.6318613624572755,1.0507544445991517,0.2995391499996185,2.6045941546018586e-05,760.5499820709229
150,4.526416683197022,1.0160110759735108,0.29617160081863403,2.443510090594862e-05,736.630662282308
175,4.473497638702392,0.9961940431594849,0.29419090270996096,2.2628871746484123e-05,722.0189026423863
200,4.498756427764892,1.0072196745872497,0.2936666774749756,2.0671729424062058e-05,710.726432800293
225,4.475761775970459,1.000638897418976,0.2926146733760834,1.861186527804339e-05,715.2612739139133
250,4.3838067054748535,0.9686653161048889,0.2891194987297058,1.650000000000023e-05,707.2930488586426
275,4.399227809906006,0.9727345848083496,0.2894482350349426,1.4388134721957084e-05,700.6640729037198
300,4.30984489440918,0.9437990283966065,0.2856284296512604,1.2328270575938377e-05,695.3202652931213
325,4.330269908905029,0.9489463496208191,0.2870176875591278,1.0371128253516253e-05,700.45701613793
350,4.270347080230713,0.933125147819519,0.28399024724960326,8.564899094051717e-06,695.9601756504604
375,4.283874492645264,0.9319678092002869,0.2851403307914734,6.954058453981679e-06,691.7323118845621
400,4.250943984985351,0.9226487946510314,0.283460932970047,5.578270575938257e-06,688.412070274353
425,4.263292255401612,0.9246420001983643,0.28402155041694643,4.47141192345706e-06,692.6410641389734
450,4.2338892936706545,0.9174818968772889,0.282135454416275,3.6607370300154383e-06,689.2962042490641
475,4.290698661804199,0.9372836232185364,0.2843472158908844,3.1662074019656446e-06,686.5304309443424
500,4.2272799110412596,0.915287811756134,0.2821055030822754,3e-06,689.5256862640381
