step,loss,l1_final,l1_cv,lr,ms_per_step
1,30.171571731567383,17.88650894165039,1.2326992750167847,4.001174942283388e-06,20339.137077331543
50,31.039893493652343,18.43095245361328,1.2610948407649993,6.907530866251532e-06,673.5063457489014
100,21.016036758422853,12.332285776138306,0.9063975572586059,1.5277884475914217e-05,471.47637605667114
150,9.222766494750976,5.233927774429321,0.47293654561042786,2.8097016600590815e-05,405.02960205078125
200,4.701800994873047,2.6002085280418394,0.2899049624800682,4.3811926309820757e-05,372.24820613861084
250,3.473300337791443,1.9038440847396851,0.22912410736083985,6.05187975602731e-05,367.8395128250122
300,2.8163839554786683,1.5578089797496795,0.18954869449138642,7.619364102531537e-05,352.39710330963135
350,2.598081736564636,1.4348140442371369,0.17291424065828323,8.893749457168624e-05,342.1725715909685
400,2.3594439744949343,1.3028283834457397,0.1612583193182945,9.720647705184143e-05,333.7526351213455
450,2.105552053451538,1.1616377115249634,0.14249526008963584,9.999999662475128e-05,335.3870603773329
500,1.9273289585113524,1.0610608422756196,0.1338645650446415,9.99912212348564e-05,329.58811235427856
550,1.9569497537612914,1.08144127368927,0.13320282533764838,9.996557303877729e-05,324.71870335665614
600,1.926874063014984,1.0700093024969102,0.13330888167023658,9.99230606932093e-05,320.6659750143687
650,1.873537403345108,1.0210461223125458,0.13125328004360198,9.986369854678041e-05,322.9737692612868
700,1.6132862675189972,0.8822532385587692,0.11371664732694625,9.978750663520841e-05,319.8421198981149
750,1.6116690945625305,0.8875603199005127,0.11640178918838501,9.969451067453835e-05,317.1180181503296
800,1.7206008636951446,0.9444357544183731,0.12168280884623528,9.958474205246314e-05,314.85892355442047
850,1.525800405740738,0.843445121049881,0.10965758442878723,9.94582378177295e-05,316.7296625586117
900,1.5602584719657897,0.8643843531608582,0.11059994131326675,9.931504066763349e-05,314.85111713409424
950,1.5947435581684113,0.8776147544384003,0.11275812357664108,9.915519893360944e-05,313.5242728183144
1000,1.4823037040233613,0.811113908290863,0.10701912760734558,9.897876656491728e-05,312.24913597106934
1050,1.4831146562099458,0.8175740349292755,0.10699903964996338,9.878580311043376e-05,320.2915956860497
1100,1.4297507417201996,0.7889351183176041,0.10066283404827119,9.857637369855366e-05,318.52527249943125
1150,1.5764201915264129,0.87549771130085,0.1075023739039898,9.835054901520798e-05,318.66752334263015
1200,1.3481507432460784,0.7356251400709152,0.0996638198196888,9.810840528000612e-05,317.34463810920715
1250,1.3032960963249207,0.7139350926876068,0.09701276451349258,9.785002422051061e-05,318.64557723999025
1300,1.2868047094345092,0.7125585281848907,0.09339843824505806,9.757549304465263e-05,317.7311189358051
1350,1.3780009984970092,0.7597733664512635,0.09681386776268482,9.728490441129782e-05,316.55972056918677
1400,1.4557282292842866,0.8016413486003876,0.10241015508770943,9.697835639897247e-05,317.29524391038075
1450,1.2356646060943604,0.6810333335399628,0.09015574626624584,9.665595247276033e-05,318.36931195752373
1500,1.295270105600357,0.7148696094751358,0.09279922790825366,9.63178014493814e-05,319.10878880818683
1550,1.2738827574253082,0.7003711140155793,0.09481899112462998,9.596401746046445e-05,318.17117567985287
1600,1.2766978311538697,0.7049433535337448,0.09124415785074234,9.559471991402574e-05,319.03097078204155
1650,1.2296229410171509,0.6819941288232804,0.08853502318263054,9.521003345416678e-05,320.0524246331417
1700,1.1702282011508942,0.6405915755033493,0.08697401814162731,9.481008791900488e-05,319.1014546506545
1750,1.2650269103050231,0.6962465482950211,0.09099720761179925,9.439501829685059e-05,318.3363324574062
1800,1.2245652294158935,0.676085501909256,0.08764269344508648,9.396496468064684e-05,317.52137422561646
