step,loss,l1,grad,lr,ms_per_step
1,63.093963623046875,62.33388137817383,1.5201635360717773,0.00019999988896697332,2423.7873554229736
50,10.443495497703552,9.881470274925231,1.1240503001213074,0.00019972256003598148,629.8455858230591
100,4.037285265922546,3.6030127477645872,0.8685450357198715,0.0001988919506535622,616.6514253616333
150,3.0916378784179686,2.699977355003357,0.7833210629224777,0.00019751329283579068,699.3840265274048
200,2.7257712364196776,2.336196322441101,0.7791498249769211,0.00019559508646656363,679.46333527565
250,2.4985417461395265,2.125470793247223,0.7461419206857681,0.00019314915792601562,718.0224905014038
300,2.3070432710647584,1.9343560242652893,0.7453744941949845,0.00019019058717695283,707.5393811861674
350,2.297156012058258,1.928911385536194,0.7364892172813415,0.00018673761479186802,735.8403519221714
400,2.1756645941734316,1.811005630493164,0.7293179374933243,0.000182811529493745,727.8185111284256
450,2.048814067840576,1.6886081719398498,0.7204118299484253,0.0001784365369040025,756.0328155093723
500,1.9789634013175965,1.6177071571350097,0.7225124835968018,0.000173639610306789,748.2433023452759
550,1.9247064018249511,1.5658524417877198,0.717707925438881,0.0001684503243497163,764.7270089929754
600,1.8987161922454834,1.542453191280365,0.7125260162353516,0.00016290067270632245,758.4210948149363
650,1.9174428462982178,1.5570135998725891,0.7208584803342819,0.00015702487082443531,771.8481687399058
700,1.8698014903068543,1.5222090554237366,0.6951848918199539,0.00015085914497655912,765.948474747794
750,1.7135856604576112,1.359864501953125,0.7074423062801362,0.00014444150891285802,777.257960319519
800,1.6873479866981507,1.3381255161762238,0.6984449553489686,0.0001378115294937454,772.214520573616
850,1.6389414060115814,1.2920930910110473,0.6936966347694397,0.00013101008274703192,781.9749860202564
900,1.6922016978263854,1.3408940196037293,0.7026153606176376,0.00012407910185362138,777.5045363108317
950,1.6306168413162232,1.2853245329856873,0.6905845975875855,0.00011706131861550665,789.6698999404907
1000,1.578887587785721,1.229055017232895,0.6996651458740234,0.0001100000000000005,785.008398771286
1050,1.5440089643001556,1.2032008457183838,0.6816162449121476,0.0001029386813844944,793.0389011473883
1100,1.5686574578285217,1.2176606392860412,0.7019936406612396,9.592089814637966e-05,789.1313819451766
1150,1.552109304666519,1.203371263742447,0.6974760884046555,8.898991725296889e-05,796.3782439024552
1200,1.4890545439720153,1.1482570695877075,0.681594945192337,8.218847050625506e-05,792.6688838005066
1250,1.4379630827903747,1.0960009753704072,0.6839242196083068,7.55584910871423e-05,799.2755958557129
1300,1.4373999452590942,1.092913156747818,0.6889735698699951,6.914085502344127e-05,795.8394160637489
1350,1.4193687570095062,1.0738457691669465,0.6910459727048874,6.297512917556521e-05,801.9050488648592
1400,1.3935224521160126,1.054852555990219,0.6773397928476333,5.7099327293678084e-05,798.8820358685085
1450,1.3576635313034058,1.0204329586029053,0.6744611412286758,5.154967565028422e-05,804.7240717657681
1500,1.3778613209724426,1.0327121758460998,0.6902982914447784,4.63603896932114e-05,801.7418551445007
1550,1.3878938102722167,1.0437269151210784,0.6883337914943695,4.156346309599774e-05,807.4898064521051
1600,1.3350674414634705,0.998163629770279,0.6738076227903366,3.718847050625519e-05,804.7278702259064
1650,1.3244242656230927,0.985053037405014,0.678742464184761,3.3262385208132035e-05,809.588982408697
1700,1.311627789735794,0.9712020683288575,0.680851434469223,2.980941282304715e-05,806.7501394888934
1750,1.2805995738506317,0.9475475096702576,0.6661041384935379,2.6850842073984363e-05,811.0931871959141
1800,1.3083600389957428,0.9629126679897309,0.6908947491645813,2.4404913533436295e-05,808.3132445812225
1850,1.2731002688407898,0.9380015707015992,0.6701973879337311,2.248670716420917e-05,812.6038080937153
1900,1.3007959091663361,0.9584661376476288,0.6846595340967179,2.1108049346437637e-05,810.0070051143044
1950,1.2715322732925416,0.933234361410141,0.6765958273410797,2.0277439964018494e-05,813.9625559097682
2000,1.2661980128288268,0.927851346731186,0.6766933250427246,2e-05,811.4712119102478
