step,loss,l1_final,l1_cv,lr,ms_per_step
1,198.5366668701172,120.17986297607422,7.456623554229736,3.200047421501016e-05,19380.76114654541
100,83.81920585632324,48.51465810775757,3.8492269933223726,3.6732398694875224e-05,487.104115486145
200,29.146126976013182,15.70665678024292,1.4928939563035966,5.081295104300489e-05,380.8474934101105
300,20.509862461090087,11.112913546562195,0.8861407941579819,7.389460085920454e-05,344.6353538831075
400,17.023012380599976,9.169910621643066,0.7138094311952591,0.00010540843371917318,327.0900136232376
500,14.328605375289918,7.707947874069214,0.6006693938374519,0.00014457769951094744,318.8363962173462
600,12.796622605323792,6.875481085777283,0.5271344503760338,0.00019043695770165083,330.0726004441579
700,11.145416827201844,5.936858441829681,0.46868130683898923,0.00024185587342873355,324.2558935710362
800,9.77871802330017,5.108031015396119,0.4165125048160553,0.00029756707789178524,319.74322497844696
900,9.411662707328796,4.917268033027649,0.40049135982990264,0.0003561974063444993,320.32791588041516
1000,8.275913710594176,4.306350212097168,0.3571461609005928,0.0004163017437355752,317.4021201133728
1100,8.076303176879883,4.177280030250549,0.3477292463183403,0.0004763986437742529,321.64342099970037
1200,7.9269397878646854,4.098011927604675,0.33710565239191054,0.0005350068434849645,319.7618891795476
1300,7.5002888131141665,3.860674340724945,0.32384566888213157,0.0005906817732436476,320.66867956748376
1400,6.771701710224152,3.4877003765106203,0.2920140716433525,0.0006420511623996392,318.71036001614164
1500,7.099101614952088,3.631002014875412,0.3019119980931282,0.0006878488628789898,317.6323796908061
1600,6.178075289726257,3.129215862751007,0.2706457629799843,0.0007269460570880705,320.47656893730164
1700,6.60117356300354,3.3599631106853485,0.28234829485416413,0.0007583790809078792,319.0256124384263
1800,6.3163385224342345,3.198576501607895,0.2698898015916347,0.000781373176000391,319.6699623266856
1900,5.725483629703522,2.8889740824699404,0.24722631216049196,0.0007953615859822429,318.57977992609926
2000,5.727847864627838,2.892028293609619,0.2472151230275631,0.0007999999939076761,317.37902879714966
2100,5.64492130279541,2.829426681995392,0.24320994399487972,0.0007999378538119091,319.64484668913343
2200,5.367179071903228,2.687060832977295,0.23409368649125098,0.0007997538892589616,318.5415681925687
2300,5.538494637012482,2.7739897501468658,0.2382411402463913,0.0007994481562862184,318.1428470818893
2400,5.171436338424683,2.5849128520488738,0.2278745213150978,0.0007990207480229047,317.9000261425972
2500,5.381682114601135,2.6923371958732605,0.23157617419958115,0.0007984717946617179,318.9518867492676
2600,4.869647221565247,2.4087121057510377,0.21428002759814263,0.0007978014634191698,322.84790974396924
2700,4.856809191703796,2.3957166647911072,0.2119634637236595,0.0007970099584846504,322.40969737370807
2800,5.513361308574677,2.751253743171692,0.23690427497029304,0.0007960975209582302,322.5165178946086
2900,4.781891033649445,2.364267876148224,0.20736930958926678,0.0007950644287772188,323.0637662164096
3000,4.692609686851501,2.3102907598018647,0.20441258400678636,0.0007939109966315024,323.0469186306
3100,4.916467723846435,2.4360407781600952,0.213650159239769,0.0007926375758676859,325.53113060612833
3200,4.464953582286835,2.1967842161655424,0.1953068497031927,0.00079124455438207,325.4682605713606
3300,4.642728638648987,2.2786081624031067,0.20092815555632115,0.0007897323565024938,325.3412110155279
3400,4.814661095142364,2.3639064133167267,0.2078310541808605,0.0007881014428590802,325.2599955306334
3500,4.607498095035553,2.244706040620804,0.20088529519736767,0.0007863523102439242,326.0311425072806
3600,4.702214822769165,2.309913158416748,0.20278311602771282,0.0007844854914597645,328.3641212516361
3700,4.6356199049949645,2.2636777329444886,0.2024942171573639,0.0007825015551576871,328.2226800918579
3800,4.5957479310035705,2.2509339940547943,0.19806311957538128,0.0007804011056639085,328.1005215017419
3900,4.543075139522553,2.2097861206531526,0.19455875769257547,0.0007781847827956917,328.9823069939247
4000,4.540062911510468,2.2110777461528777,0.192734914496541,0.0007758532616664528,328.93457168340683
4100,4.526351151466369,2.1991993474960325,0.19700619302690028,0.0007734072524801134,330.7762849621656
4200,4.501782200336456,2.1893860411643984,0.19406787186861038,0.0007708475003147668,331.2212025551569
4300,4.336454005241394,2.0948537647724152,0.1865598167479038,0.0007681747848957193,331.14678626836735
