step,loss,l1_final,l1_cv,lr,ms_per_step
1,212.2159881591797,128.2885284423828,8.118071556091309,3.2085351733906705e-05,21079.802751541138
50,96.47013551712035,56.45307887077332,4.426231548786164,0.00022634196749609086,647.3175048828125
100,9.049220371246339,4.540032453536988,0.5234796899557114,0.0006126553682643028,438.84316205978394
150,7.349008798599243,4.00756112575531,0.2760812225937843,0.0007999989169206619,376.1204767227173
200,4.82199191570282,2.5428867149353027,0.18578933000564576,0.0007971862144978019,338.9684545993805
250,3.7206927871704103,1.9019348955154418,0.14572448790073395,0.000789002271527665,321.92019176483154
300,3.2030478572845458,1.5990366888046266,0.1262722598016262,0.0007755577617995,305.428679784139
350,2.764026403427124,1.3383799493312836,0.10923756346106529,0.0007570344992435408,299.23908710479736
400,2.3890461802482603,1.1331379544734954,0.09115649595856666,0.0007336829792094979,289.578041434288
450,2.179232063293457,1.0323240268230438,0.07538517579436302,0.0007058189909466758,286.1452563603719
500,2.1247537398338316,1.0134155917167664,0.07162651263177394,0.0006738193470961061,281.563440322876
550,1.946784827709198,0.9231651198863983,0.060560843870043755,0.0006381167879459942,278.95618612116033
600,1.807680218219757,0.8592035055160523,0.052643872350454333,0.0005991941293616809,273.96268288294476
650,1.675888090133667,0.8033186042308808,0.04485748119652271,0.0005575777335293251,271.8458601144644
700,1.6887624382972717,0.8162908971309661,0.0461987579613924,0.0005138303908103031,268.19974763052807
750,1.6020924758911133,0.7695994687080383,0.0401899379119277,0.00046854370896702824,266.920405069987
800,1.515038230419159,0.7254424738883972,0.035277896635234354,0.00042233011268285757,264.0738418698311
850,1.446337788105011,0.6983928346633911,0.028010110072791576,0.000375814561568855,263.71888581444233
900,1.427659251689911,0.6950536179542541,0.02557867232710123,0.0003296260986571591,261.3378341992696
950,1.3583580350875855,0.6462134873867035,0.022942142635583876,0.0002843893436730864,260.78520323100844
1000,1.3002868127822875,0.6188493204116822,0.017208789214491843,0.00024071604612487272,258.0622580051422
1050,1.299275426864624,0.6184537625312805,0.017370764538645743,0.00019919681244101904,256.69009072440014
1100,1.2535503363609315,0.5944330954551696,0.01386995641514659,0.00016039311903152335,254.17943997816607
1150,1.2457405829429626,0.5932796382904053,0.012983947806060315,0.0001248297192826382,253.48902888919997
1200,1.2207273054122925,0.5771557772159577,0.011151871774345637,9.298754716752813e-05,252.2123783826828
1250,1.2041067600250244,0.5682920014858246,0.010002399226650596,6.529721343931687e-05,252.89462852478027
1300,1.1994670152664184,0.5671895611286163,0.00973293136805296,4.213318235935714e-05,251.90554490456213
1350,1.1948151111602783,0.5637184166908265,0.009022449404001235,2.3808707710483335e-05,251.65051848800093
1400,1.1828778076171875,0.5572749924659729,0.008203297453001142,1.0571596576980481e-05,250.61811872891016
1450,1.1775694823265075,0.5543332946300507,0.007498930096626282,2.600858178878424e-06,250.86476424644732
1500,1.1749182534217835,0.5530626595020294,0.0074839640688151125,4.283079338148694e-09,249.96099376678467
